Date,Spend,Impressions,CPM,Clicks,CPC,CTR,Acquisitions,CPA,CR,Age,Gender,Targeting,Image,Copy,Bid Type,Placement
6/17/15,0.22,96,2.291666667,0,0,0,0,0,0,35-44,W,FirstEvent-LAL-1,Old16,Title5,cpm,NFM
6/17/15,34.15,8016,4.260229541,18,1.897222222,0.002245509,0,0,0,35-44,M,tNUS3-LAL-1,CoreV4,Title5,cpm,NFM
6/17/15,41.31,9867,4.186682882,25,1.6524,0.002533698,2,20.655,0.08,25-34,M,tNUS3-LAL-1,CoreV4,Title5,cpm,NFM
6/17/15,12.6,2967,4.246713852,5,2.52,0.001685204,0,0,0,45-54,M,tNUS3-LAL-1,CoreV4,Title5,cpm,NFM
6/17/15,13.62,3252,4.188191882,4,3.405,0.001230012,0,0,0,18-24,M,tNUS3-LAL-1,CoreV4,Title5,cpm,NFM
6/17/15,9.42,1671,5.637342908,1,9.42,0.000598444,0,0,0,18-24,M,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/17/15,33.05,9744,3.39183087,26,1.271153846,0.002668309,0,0,0,35-44,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/17/15,2.77,807,3.432465923,2,1.385,0.002478315,0,0,0,55-64,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/17/15,21.96,4232,5.189035917,0,0,0,1,21.96,0,18-24,W,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/17/15,45.39,13409,3.385039899,36,1.260833333,0.002684764,0,0,0,25-34,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/17/15,52.22,10018,5.212617289,5,10.444,0.000499102,1,52.22,0.2,25-34,W,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/17/15,9.78,1849,5.289345592,1,9.78,0.000540833,0,0,0,45-54,W,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/17/15,0.39,105,3.714285714,1,0.39,0.00952381,0,0,0,18-24,M,FirstEvent-LAL-1,Old06,Title1,cpm,NFD
6/17/15,0.53,138,3.84057971,0,0,0,0,0,0,35-44,M,FirstEvent-LAL-1,Old06,Title1,cpm,NFD
6/17/15,0.26,70,3.714285714,0,0,0,0,0,0,45-54,M,FirstEvent-LAL-1,Old06,Title1,cpm,NFD
6/17/15,23.59,4488,5.256238859,1,23.59,0.000222816,0,0,0,35-44,W,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/17/15,17.71,5294,3.345296562,11,1.61,0.002077824,1,17.71,0.090909091,18-24,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/16/15,10.29,2648,3.885951662,3,3.43,0.001132931,0,0,0,25-34,M,tNUS3-LAL-1,CoreV4,Title5,cpm,NFM
6/16/15,0.85,218,3.899082569,0,0,0,0,0,0,35-44,M,FirstEvent-LAL-1,Old06,Title1,cpm,NFD
6/16/15,7.2,1330,5.413533835,0,0,0,0,0,0,45-54,M,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/16/15,1.15,291,3.951890034,1,1.15,0.003436426,0,0,0,25-34,M,FirstEvent-LAL-1,Old06,Title1,cpm,NFD
6/16/15,3.31,888,3.727477477,2,1.655,0.002252252,0,0,0,18-24,M,tNUS3-LAL-1,CoreV4,Title5,cpm,NFM
6/16/15,0.35,91,3.846153846,0,0,0,0,0,0,45-54,M,FirstEvent-LAL-1,Old06,Title1,cpm,NFD
6/16/15,2.83,885,3.197740113,4,0.7075,0.004519774,0,0,0,55-64,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/16/15,1.24,580,2.137931034,1,1.24,0.001724138,0,0,0,25-34,W,FirstEvent-LAL-1,Old16,Title5,cpm,NFM
6/16/15,0.36,172,2.093023256,0,0,0,0,0,0,35-44,W,FirstEvent-LAL-1,Old16,Title5,cpm,NFM
6/16/15,0.09,42,2.142857143,0,0,0,0,0,0,45-54,W,FirstEvent-LAL-1,Old16,Title5,cpm,NFM
6/16/15,2.08,664,3.13253012,5,0.416,0.00753012,0,0,0,65+,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/16/15,8.13,2062,3.942774006,11,0.739090909,0.005334627,0,0,0,35-44,M,tNUS3-LAL-1,CoreV4,Title5,cpm,NFM
6/16/15,2.91,728,3.997252747,3,0.97,0.004120879,0,0,0,45-54,M,tNUS3-LAL-1,CoreV4,Title5,cpm,NFM
6/16/15,57.04,10943,5.212464589,1,57.04,9.14E-05,0,0,0,25-34,W,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/16/15,9.31,1738,5.356731876,1,9.31,0.000575374,0,0,0,18-24,M,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
